Time,Fan_State,AC_State,Fridge_State,Cost
00:00,0,0,1,1.5690000000000002
01:00,0,1,1,9.414000000000001
02:00,0,0,1,1.5690000000000002
03:00,0,0,1,1.5690000000000002
04:00,0,0,1,1.5690000000000002
05:00,0,0,1,1.5690000000000002
06:00,0,0,1,1.5690000000000002
07:00,0,0,1,1.5690000000000002
08:00,0,0,1,1.5690000000000002
09:00,0,1,1,9.414000000000001
10:00,0,0,1,1.5690000000000002
11:00,1,0,1,1.9351
12:00,0,0,1,1.5690000000000002
13:00,0,0,1,1.5690000000000002
14:00,0,1,1,9.414000000000001
15:00,0,0,1,1.5690000000000002
16:00,1,1,1,9.780100000000001
17:00,0,0,1,1.983
18:00,0,1,1,11.898000000000001
19:00,0,0,1,1.983
20:00,1,1,1,12.360700000000001
21:00,0,0,1,1.983
22:00,0,1,1,9.414000000000001
23:00,0,0,1,1.5690000000000002
Total,,,,99.98
